City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Clyde River,CA,2022-04-30 17:12:52,70.4692,-68.5914,15.1,72,76,3.76
90,Providencia,MX,2022-04-30 17:09:21,28.7167,-111.5833,85.21,31,51,1.25
91,Agueda,PT,2022-04-30 17:12:52,40.5772,-8.4444,64.4,77,8,9.13
92,Belyy Yar,RU,2022-04-30 17:13:53,53.6039,91.3903,51.69,43,0,4.47
93,Kavieng,PG,2022-04-30 17:13:53,-2.5744,150.7967,81.75,74,85,1.88
94,Koscierzyna,PL,2022-04-30 17:13:54,54.1223,17.9812,56.12,56,100,3.87
95,Tekeli,KZ,2022-04-30 17:13:54,44.83,78.8239,57.81,37,100,9.98
96,Nome,US,2022-04-30 17:09:24,64.5011,-165.4064,42.87,53,75,8.05
97,Thompson,CA,2022-04-30 17:09:13,55.7435,-97.8558,37.56,94,100,8.9
98,Yulara,AU,2022-04-30 17:13:55,-25.2406,130.9889,62.87,55,100,15.84
99,Cam Ranh,VN,2022-04-30 17:13:56,11.9214,109.1591,76.96,94,40,0.0
100,Beloha,MG,2022-04-30 17:13:56,-25.1667,45.05,70.29,77,11,2.64
101,Rorvik,NO,2022-04-30 17:13:57,64.8621,11.2373,40.05,75,90,2.21
102,Kapaa,US,2022-04-30 17:13:57,22.0752,-159.319,74.12,81,40,19.57
103,Tikaitnagar,IN,2022-04-30 17:13:58,26.95,81.5833,95.61,10,17,4.54
104,Nouakchott,MR,2022-04-30 17:13:58,18.0858,-15.9785,84.13,49,4,18.03
105,Victoria,HK,2022-04-30 17:13:59,22.2855,114.1577,78.19,86,100,15.01
106,Sitka,US,2022-04-30 17:13:59,57.0531,-135.33,46.29,66,0,4.61
107,Charters Towers,AU,2022-04-30 17:14:00,-20.1,146.2667,69.48,80,66,7.49
108,Levelland,US,2022-04-30 17:14:00,33.5873,-102.378,68.2,14,0,10.58
109,Sal Rei,CV,2022-04-30 17:14:01,16.1833,-22.9167,72.05,76,95,20.04
110,Camana,PE,2022-04-30 17:14:01,-16.6228,-72.7111,71.1,69,66,9.82
111,Vardo,NO,2022-04-30 17:14:02,70.3705,31.1107,29.53,66,100,16.6
112,Lagoa,PT,2022-04-30 17:10:16,39.05,-27.9833,61.29,86,3,12.64
113,Langcangan,PH,2022-04-30 17:14:02,8.4794,123.7558,74.91,86,100,3.18
114,Mahebourg,MU,2022-04-30 17:13:19,-20.4081,57.7,77.29,83,40,11.5
115,Takoradi,GH,2022-04-30 17:14:03,4.8845,-1.7554,83.62,71,94,8.7
116,Husavik,IS,2022-04-30 17:14:04,66.0449,-17.3389,50.52,56,82,5.26
117,Prado,BR,2022-04-30 17:14:05,-17.3411,-39.2208,81.3,63,24,8.84
118,Gushikawa,JP,2022-04-30 17:14:05,26.3544,127.8686,70.83,78,100,4.61
119,Drakhtik,AM,2022-04-30 17:14:06,40.565,45.2367,48.31,78,91,2.44
120,Puerto Ayora,EC,2022-04-30 17:14:06,-0.7393,-90.3518,80.56,81,38,9.31
121,Huarmey,PE,2022-04-30 17:14:07,-10.0681,-78.1522,72.57,75,86,9.15
122,Vaini,TO,2022-04-30 17:13:12,-21.2,-175.2,75.36,100,100,6.91
123,Norman Wells,CA,2022-04-30 17:14:08,65.282,-126.8329,41.4,73,49,8.1
124,Luderitz,NA,2022-04-30 17:14:08,-26.6481,15.1594,61.0,67,0,18.59
125,Usinsk,RU,2022-04-30 17:14:09,65.9939,57.5281,21.29,81,35,12.19
126,Lasa,IT,2022-04-30 17:13:06,46.6166,10.7002,49.37,94,100,4.25
127,Neijiang,CN,2022-04-30 17:14:10,29.5835,105.0622,54.91,91,100,12.53
128,Souillac,MU,2022-04-30 17:11:45,-20.5167,57.5167,77.38,83,40,11.5
129,Kahului,US,2022-04-30 17:09:35,20.8947,-156.47,73.42,80,20,12.66
130,Doha,QA,2022-04-30 17:11:50,25.2867,51.5333,82.38,54,0,5.75
131,Kurumkan,RU,2022-04-30 17:14:11,54.3,110.3,41.38,92,79,2.82
132,Santiago Del Estero,AR,2022-04-30 17:10:30,-27.7951,-64.2615,62.35,52,99,5.75
133,Westport,US,2022-04-30 17:14:12,41.1415,-73.3579,62.89,30,0,11.5
134,Timizart,DZ,2022-04-30 17:14:13,36.8,4.2667,61.2,58,0,5.17
135,Roald,NO,2022-04-30 17:14:13,62.5833,6.1333,48.16,81,75,5.75
136,Sao Filipe,CV,2022-04-30 17:13:07,14.8961,-24.4956,74.61,69,96,8.61
137,Nuuk,GL,2022-04-30 17:15:14,64.1835,-51.7216,25.41,63,40,16.11
138,Leningradskiy,RU,2022-04-30 17:13:11,69.3833,178.4167,4.87,97,97,5.55
139,Pandan,PH,2022-04-30 17:15:15,14.0453,124.1694,79.41,87,85,6.93
140,Bonthe,SL,2022-04-30 17:15:15,7.5264,-12.505,85.6,65,87,9.73
141,Paredon,MX,2022-04-30 17:15:16,16.0333,-93.8667,87.48,59,77,7.94
142,Mar Del Plata,AR,2022-04-30 17:14:14,-38.0023,-57.5575,55.87,52,0,9.22
143,Raudeberg,NO,2022-04-30 17:15:17,61.9875,5.1352,46.87,77,75,1.43
144,Karratha,AU,2022-04-30 17:15:17,-20.7377,116.8463,77.92,45,91,14.67
145,Mabay,PH,2022-04-30 17:15:18,6.0577,124.4666,77.83,85,99,2.77
146,Honiara,SB,2022-04-30 17:10:33,-9.4333,159.95,77.68,87,92,2.24
147,Hovd,MN,2022-04-30 17:15:19,48.0056,91.6419,52.99,21,41,4.34
148,Marsa Matruh,EG,2022-04-30 17:15:19,31.3525,27.2453,66.83,73,1,8.63
149,Kirkkonummi,FI,2022-04-30 17:15:20,60.1238,24.4385,47.05,68,90,13.35
150,Mashpee,US,2022-04-30 17:15:20,41.6484,-70.4811,55.98,51,40,13.8
151,Nangloi Jat,IN,2022-04-30 17:15:21,28.6833,77.0667,99.34,16,41,0.0
152,Coquimbo,CL,2022-04-30 17:15:22,-29.9533,-71.3436,60.53,72,20,12.66
153,Pochutla,MX,2022-04-30 17:15:22,15.7432,-96.4661,87.82,42,39,7.54
154,Svetlaya,RU,2022-04-30 17:15:23,46.5389,138.3297,37.92,87,100,7.72
155,Rawson,AR,2022-04-30 17:15:23,-43.3002,-65.1023,57.79,45,91,17.07
156,Bethanien,NA,2022-04-30 17:15:24,-26.502,17.1583,65.08,15,0,9.95
157,Salalah,OM,2022-04-30 17:11:10,17.0151,54.0924,86.09,79,75,6.91
158,Ribeira Grande,PT,2022-04-30 17:15:25,38.5167,-28.7,66.6,82,40,11.5
159,Sao Joao Da Barra,BR,2022-04-30 17:15:25,-21.6403,-41.0511,87.89,68,11,10.63
160,Tasiilaq,GL,2022-04-30 17:15:26,65.6145,-37.6368,41.16,46,65,13.53
161,Xuddur,SO,2022-04-30 17:15:26,4.1213,43.8894,78.67,71,82,5.28
162,Esperance,AU,2022-04-30 17:13:37,-33.8667,121.9,58.57,79,0,7.78
163,Beringovskiy,RU,2022-04-30 17:15:27,63.05,179.3167,24.73,95,100,15.17
164,Iqaluit,CA,2022-04-30 17:15:28,63.7506,-68.5145,24.53,68,100,13.8
165,Niquero,CU,2022-04-30 17:15:28,20.0431,-77.5828,81.57,65,11,2.33
166,Lazaro Cardenas,MX,2022-04-30 17:15:29,17.9583,-102.2,83.1,51,2,8.32
167,Ponta Do Sol,PT,2022-04-30 17:15:29,32.6667,-17.1,75.7,53,0,1.3
168,Dawei,MM,2022-04-30 17:15:30,14.0833,98.2,79.56,90,99,1.79
169,Yarada,IN,2022-04-30 17:15:30,17.65,83.2667,86.32,79,40,5.75
170,Nevel,RU,2022-04-30 17:15:31,56.0209,29.9284,42.06,55,85,3.33
171,New Norfolk,AU,2022-04-30 17:10:34,-42.7826,147.0587,54.91,83,100,1.01
172,Kilindoni,TZ,2022-04-30 17:15:32,-7.9139,39.6668,81.88,69,24,13.91
173,Kaitangata,NZ,2022-04-30 17:15:32,-46.2817,169.8464,48.7,89,28,5.23
174,Sanming,CN,2022-04-30 17:15:33,26.2486,117.6186,63.36,98,100,3.6
175,Batagay-Alyta,RU,2022-04-30 17:15:33,67.8006,130.4114,0.63,91,10,5.95
176,Tripoli,LY,2022-04-30 17:11:25,32.8752,13.1875,67.1,68,64,26.57
177,Maldonado,UY,2022-04-30 17:15:34,-34.6667,-54.9167,63.79,51,100,2.91
178,Rincon,US,2022-04-30 17:15:36,32.296,-81.2354,78.91,38,75,10.36
179,Margate,GB,2022-04-30 17:15:36,51.3813,1.3862,55.69,69,67,3.0
180,Fairbanks,US,2022-04-30 17:11:36,64.8378,-147.7164,46.81,50,0,6.91
181,Singarayakonda,IN,2022-04-30 17:15:37,15.25,80.0333,86.05,68,31,10.42
182,Paamiut,GL,2022-04-30 17:15:37,61.994,-49.6678,31.59,88,93,18.21
183,Xining,CN,2022-04-30 17:15:38,36.6167,101.7667,34.83,72,100,2.93
184,Requena,ES,2022-04-30 17:15:38,39.4883,-1.1004,58.51,72,100,4.63
185,Severo-Kurilsk,RU,2022-04-30 17:15:39,50.6789,156.125,33.22,86,89,10.92
186,Mackenzie,CA,2022-04-30 17:16:39,55.2999,-123.1698,44.82,45,0,6.91
187,Huambo,AO,2022-04-30 17:14:00,-12.7761,15.7392,62.76,63,28,4.36
188,Mariental,NA,2022-04-30 17:16:40,-24.6333,17.9667,71.33,20,0,12.73
189,Valley City,US,2022-04-30 17:16:41,46.9233,-98.0032,39.72,100,100,17.27
190,Evensk,RU,2022-04-30 17:16:41,61.95,159.2333,29.12,70,20,9.48
191,Hami,CN,2022-04-30 17:16:42,42.8,93.45,62.69,15,0,7.05
192,Adrar,MR,2022-04-30 17:16:42,20.5022,-10.0711,94.78,6,0,8.21
193,Nizwa,OM,2022-04-30 17:16:43,22.9333,57.5333,87.53,33,100,7.27
194,Chimoio,MZ,2022-04-30 17:16:43,-19.1164,33.4833,67.86,60,0,5.75
195,Pokhara,NP,2022-04-30 17:16:43,28.2333,83.9833,72.57,56,100,4.85
196,Metsavan,AM,2022-04-30 17:16:44,41.2016,44.2288,49.1,96,84,4.05
197,Airai,TL,2022-04-30 17:16:45,-8.9266,125.4092,60.21,90,94,3.0
198,Cabo San Lucas,MX,2022-04-30 17:13:07,22.8909,-109.9124,85.6,53,20,6.91
199,Moyale,KE,2022-04-30 17:16:45,3.5167,39.0584,69.08,83,86,3.58
200,Goderich,CA,2022-04-30 17:15:35,43.7501,-81.7165,61.12,25,100,9.22
201,Abha,SA,2022-04-30 17:16:46,18.2164,42.5053,66.02,77,20,5.75
202,Vidim,RU,2022-04-30 17:16:47,56.4088,103.1106,48.0,98,100,7.0
203,Egvekinot,RU,2022-04-30 17:16:47,66.3167,-179.1667,13.42,85,100,11.39
204,Cortes,ES,2022-04-30 17:16:48,41.9395,-1.4396,71.65,46,100,21.65
205,San-Pedro,CI,2022-04-30 17:16:48,4.7485,-6.6363,84.18,72,36,7.87
206,Belaya Gora,RU,2022-04-30 17:16:49,68.5333,146.4167,2.59,100,92,2.98
207,Yangjiang,CN,2022-04-30 17:16:49,21.85,111.9667,75.83,90,100,6.85
208,Klyuchi,RU,2022-04-30 17:16:50,52.2667,79.1667,63.32,29,10,8.03
209,Huron,US,2022-04-30 17:16:50,41.1501,-82.5499,63.84,53,100,10.47
210,Bambanglipuro,ID,2022-04-30 17:16:51,-7.95,110.2833,77.94,87,100,4.34
211,Omboue,GA,2022-04-30 17:16:51,-1.5746,9.2618,82.35,73,100,3.74
212,Kinston,US,2022-04-30 17:14:44,35.2627,-77.5816,73.72,68,100,0.0
213,Alofi,NU,2022-04-30 17:16:52,-19.0595,-169.9187,75.09,94,98,5.75
214,Lompoc,US,2022-04-30 17:14:27,34.6391,-120.4579,77.85,65,0,21.0
215,Bambous Virieux,MU,2022-04-30 17:16:53,-20.3428,57.7575,77.25,83,40,11.5
216,Poum,NC,2022-04-30 17:16:53,-20.2333,164.0167,75.96,76,6,4.68
