City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
284,Goderich,CA,61.12,overcast clouds,43.7501,-81.7165,Harmony Inn
285,Garowe,SO,78.87,broken clouds,8.4054,48.4845,Curubo Hotel
287,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
288,Granadilla De Abona,ES,65.08,clear sky,28.1188,-16.576,Hotel Rural Senderos De Abona
293,Isangel,VU,80.33,overcast clouds,-19.55,169.2667,Tanna Lodge
294,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
296,Antalaha,MG,72.05,clear sky,-14.9003,50.2788,Hotel Vitasoa
297,Nchelenge,ZM,66.83,few clouds,-9.3451,28.734,KD Travellers Home
298,Abadiania,BR,70.72,scattered clouds,-16.2042,-48.7069,Pousada Lírio D'Água
301,Lamar,US,80.51,clear sky,33.6668,-95.5836,Kings Inn Paris TX
304,Tomigusuku,JP,71.37,broken clouds,26.185,127.675,Hotel Gran View Okinawa
305,Kongolo,CD,71.2,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
306,Marrakesh,MA,68.07,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
308,Ruidoso,US,74.62,clear sky,33.3317,-105.673,Inn of the Mountain Gods
309,Kuching,MY,73.62,few clouds,1.55,110.3333,Hilton Kuching
310,Coxim,BR,81.32,scattered clouds,-18.5067,-54.76,Hotel Avenida
311,Letpadan,MM,78.06,broken clouds,17.7833,95.75,AUNG MYO KYAW
314,Kontagora,NG,82.96,broken clouds,10.3999,5.4695,Queens Guest Inn
315,Acajutla,SV,84.61,overcast clouds,13.5928,-89.8275,Laureles
316,Buchanan,LR,80.69,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
317,Vangaindrano,MG,70.02,broken clouds,-23.35,47.6,Hotel Fanilo
318,Codrington,AU,60.42,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
319,Atar,MR,81.95,broken clouds,20.5169,-13.0499,Oumou Elghoura
320,Puerto Carreno,CO,75.36,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
322,Trat,TH,81.91,broken clouds,12.5,102.5,สวนหนิง-อัศ
324,Cristalina,BR,62.74,clear sky,-16.7686,-47.6136,HOTEL TOPAZIO
325,Amboasary,MG,69.84,broken clouds,-25.0333,46.3833,Le Bon Samaritain
326,Samarai,PG,81.61,broken clouds,-10.6167,150.6667,Nuli Sapi
327,Khipro,PK,88.72,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
329,Semporna,MY,78.91,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
331,Arinos,BR,75.79,scattered clouds,-15.9169,-46.1056,casa do bruno
332,Honiara,SB,84.2,overcast clouds,-9.4333,159.95,Heritage Park Hotel
333,Banyo,CM,65.41,light rain,6.75,11.8167,Motel JOMBA
334,Sola,VU,81.72,overcast clouds,-13.8833,167.55,Leumerus Bungalows
335,Fukue,JP,61.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
339,Lingao,CN,75.47,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
341,Melito Di Porto Salvo,IT,64.15,broken clouds,37.9222,15.7714,B&B Nereidi
342,Newcastle,AU,65.64,overcast clouds,-32.9272,151.7765,NOAH'S on the beach
346,Kieta,PG,84.92,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
347,Emerald,AU,72.34,scattered clouds,-23.5333,148.1667,The Irish Village
348,Huancabamba,PE,61.03,overcast clouds,-5.2386,-79.4506,Hospedaje El Dorado
350,Kalmunai,LK,80.35,scattered clouds,7.4167,81.8167,VS Villa
351,Ladario,BR,84.83,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
354,Bartow,US,80.69,heavy intensity rain,27.8964,-81.8431,"Holiday Inn Express & Suites Bartow, an IHG Hotel"
358,Mwene-Ditu,CD,67.1,light rain,-7.0,23.45,Hôtel Kamas
361,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
362,Vanimo,PG,81.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
363,Tutoia,BR,77.16,broken clouds,-2.7619,-42.2744,Pousada Guará's
365,Ayutla,MX,85.14,overcast clouds,20.1167,-104.3333,Hotel Principal
366,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
368,Redding,US,78.82,clear sky,40.5865,-122.3917,Redding Inn & Suites
369,Latehar,IN,74.97,clear sky,23.75,84.5,Hotel Raj
370,Toluca,MX,72.3,smoke,19.2883,-99.6672,Fiesta Inn Toluca Centro
371,Balkanabat,TM,66.06,overcast clouds,39.5108,54.3671,Nebitchi Hotel
377,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
378,Iturama,BR,75.18,scattered clouds,-19.7281,-50.1956,República DominaCana
379,Benton,US,71.51,clear sky,36.3334,-94.3335,Wingate by Wyndham Bentonville Airport
380,Mamallapuram,IN,86.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
381,Awjilah,LY,77.99,broken clouds,29.1081,21.2869,المنزل
383,Hobyo,SO,84.25,broken clouds,5.3505,48.5268,Iftin hotel hobyo
386,Safaga,EG,79.57,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
387,Pakenham,AU,60.98,overcast clouds,-38.0667,145.4833,Pakenham Ranges
391,Fuzhou,CN,62.49,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
393,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
394,Sirsi,IN,72.59,broken clouds,14.6167,74.85,Tripvillas @ Sapna Yatri Nivas
396,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
399,Badvel,IN,89.08,overcast clouds,14.75,79.05,UNS Residency Lodge A/c
400,Magnolia,US,80.29,broken clouds,33.2671,-93.2393,Budget Inn
403,Soure,BR,76.73,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
404,Luganville,VU,78.6,light rain,-15.5333,167.1667,The Espiritu Hotel
406,Kaeo,NZ,65.32,broken clouds,-35.1,173.7833,Bushido Lodge
407,Laguna,US,82.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
412,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
413,Nouakchott,MR,71.53,few clouds,18.0858,-15.9785,HOTEL IMAN
414,Narasannapeta,IN,79.61,few clouds,18.4167,84.05,AVK events and catering
416,Hollins,US,60.19,light rain,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
422,Amahai,ID,81.32,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
425,Erzin,TR,63.43,overcast clouds,36.9559,36.2,Artemis Otel
427,Babrala,IN,89.11,scattered clouds,28.2667,78.4,Neeraj jewellers and sons
431,Wau,SS,79.29,broken clouds,7.7029,27.9953,Universal Gab Hotel
432,Mathbaria,BD,78.03,clear sky,22.2876,89.9593,Shikdar Hotel
433,Coria,ES,64.45,broken clouds,39.9879,-6.5377,Hotel San Cristóbal
434,Manggar,ID,79.54,overcast clouds,-2.8833,108.2667,Guest Hotel
435,Hurghada,EG,77.77,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
436,Port Augusta,AU,60.91,clear sky,-32.5,137.7667,Majestic Oasis Apartments
438,Dakar,SN,70.68,clear sky,14.6937,-17.4441,Novotel Dakar
442,Taltal,CL,61.77,scattered clouds,-25.4,-70.4833,Residencial Karime
450,Kyotera,UG,62.96,overcast clouds,-0.6156,31.5175,NEW PARADISE GUEST HOUSE
451,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
455,Malanje,AO,63.05,overcast clouds,-9.5402,16.341,Hotel Ginga
456,Fethiye,TR,64.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
457,Murray Bridge,AU,62.13,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
458,Urumqi,CN,65.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
459,Edgewater,US,77.16,scattered clouds,28.9889,-80.9023,Islander Beach Resort
460,Ashtabula,US,64.96,clear sky,41.7001,-80.7665,DFC Mobile Home Park & Sales
469,Lar,IN,78.58,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
470,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
472,Pulaski,US,78.94,light rain,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
474,Maroantsetra,MG,74.01,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
476,Bahir Dar,ET,73.18,overcast clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
477,Prado,BR,74.61,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
481,Bontang,ID,78.6,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
484,Sarkand,KZ,62.74,overcast clouds,45.41,79.9186,Гостиница Сарканд
485,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
486,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
487,Faya,SA,64.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
488,Panzhihua,CN,61.43,broken clouds,26.5851,101.7128,Electric Power Hotel
489,Somerset,US,66.69,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
493,Iberia,US,83.05,few clouds,29.9502,-91.7507,back to back rv park
494,Yacuiba,BO,63.97,overcast clouds,-22.038,-63.6797,Hotel Monumental
