City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Ambilobe,MG,2022-04-30 23:19:08,-13.2,49.05,72.03,96,17,2.8,few clouds
90,Chapais,CA,2022-04-30 23:19:08,49.7834,-74.8492,46.18,79,11,5.39,few clouds
91,Pochinki,RU,2022-04-30 23:19:08,54.6988,44.8668,31.8,78,20,6.6,few clouds
92,Narsaq,GL,2022-04-30 23:19:09,60.9167,-46.05,50.22,73,40,0.58,scattered clouds
93,Neuquen,AR,2022-04-30 23:16:14,-38.9516,-68.0591,53.49,43,0,3.44,clear sky
94,Rocha,UY,2022-04-30 23:19:10,-34.4833,-54.3333,54.36,74,98,4.21,overcast clouds
95,Kavieng,PG,2022-04-30 23:19:10,-2.5744,150.7967,83.73,69,93,1.5,overcast clouds
96,Ketchikan,US,2022-04-30 23:19:10,55.3422,-131.6461,55.87,41,0,10.36,clear sky
97,Vao,NC,2022-04-30 23:19:11,-22.6667,167.4833,75.43,83,54,22.48,broken clouds
98,Kadungora,ID,2022-04-30 23:19:11,-7.0899,107.8864,72.61,94,99,0.65,overcast clouds
99,Sao Joao Da Barra,BR,2022-04-30 23:19:11,-21.6403,-41.0511,74.44,84,37,4.81,scattered clouds
100,Mount Isa,AU,2022-04-30 23:19:12,-20.7333,139.5,76.77,61,39,8.05,scattered clouds
101,Saint-Philippe,RE,2022-04-30 23:19:12,-21.3585,55.7679,74.79,78,12,8.93,few clouds
102,Carnarvon,AU,2022-04-30 23:19:12,-24.8667,113.6333,62.67,59,0,5.75,clear sky
103,Wittingen,DE,2022-04-30 23:19:13,52.7269,10.7361,50.99,79,100,6.42,overcast clouds
104,Klaksvik,FO,2022-04-30 23:19:14,62.2266,-6.589,45.52,87,41,6.76,scattered clouds
105,Alta Floresta,BR,2022-04-30 23:19:14,-9.8756,-56.0861,74.1,73,61,3.04,broken clouds
106,Faanui,PF,2022-04-30 23:19:14,-16.4833,-151.75,81.28,72,12,14.03,light rain
107,Andenes,NO,2022-04-30 23:19:15,69.3143,16.1194,30.18,93,100,10.36,overcast clouds
108,Zhezkazgan,KZ,2022-04-30 23:16:33,47.8043,67.7144,64.58,37,95,1.72,overcast clouds
